name,origin,vib,freq,color,ratio,action
,,7.3,,Light Gray,2.1,
,,6.6,1065,White,2.1,
Lil,,6.7,1045,White,,
,,,1065,Light Color,,
Pl ik,,7,1006.3,Dark Color,,
,,7.3,951.4,Green,1.9,
Krotork,,7,1001.8,Light Gray,1,
Woshif,,,971.7,Blue,1.7,
Kritop,,7.2,,Dark Gray,2.9,
C06,,6.7,,Orange,,
,,,,Black,2.6,
G rk,,6.9,>1000,Black or Dk Blue,3.2,
 9e,,6.6,,Light Blue,1.2,
 6,,6.6,,Orange,,
Rash,,,955.8,Light Blue,,
Sor,,7.4,<1000,,,
A,,6.8,1013.3,Light Color,1,
E4511,,,,,,
,,,>1000,Light Color,1.7,
Mor,,6.4,1055,,,
